#WV	FL
-3	-2.4000E-05
-2.999	-5.1170E-05
-2.998	-7.8350E-05
-2.997	-1.0553E-04
-2.996	-1.3272E-04
-2.995	-1.5990E-04
-2.994	-1.8708E-04
-2.993	-2.1426E-04
-2.992	-2.4143E-04
-2.991	-2.6858E-04
-2.99	-2.9572E-04
-2.989	-3.2284E-04
-2.988	-3.4994E-04
-2.987	-3.7702E-04
-2.986	-4.0407E-04
-2.985	-4.3109E-04
-2.984	-4.5807E-04
-2.983	-4.8503E-04
-2.982	-5.1194E-04
-2.981	-5.3881E-04
-2.98	-5.6563E-04
-2.979	-5.9241E-04
-2.978	-6.1914E-04
-2.977	-6.4581E-04
-2.976	-6.7242E-04
-2.975	-6.9898E-04
-2.974	-7.2547E-04
-2.973	-7.5190E-04
-2.972	-7.7826E-04
-2.971	-8.0455E-04
-2.97	-8.3076E-04
-2.969	-8.5690E-04
-2.968	-8.8295E-04
-2.967	-9.0893E-04
-2.966	-9.3481E-04
-2.965	-9.6061E-04
-2.964	-9.8632E-04
-2.963	-1.0119E-03
-2.962	-1.0374E-03
-2.961	-1.0629E-03
-2.96	-1.0882E-03
-2.959	-1.1134E-03
-2.958	-1.1385E-03
-2.957	-1.1635E-03
-2.956	-1.1883E-03
-2.955	-1.2131E-03
-2.954	-1.2377E-03
-2.953	-1.2622E-03
-2.952	-1.2866E-03
-2.951	-1.3109E-03
-2.95	-1.3350E-03
-2.949	-1.3590E-03
-2.948	-1.3828E-03
-2.947	-1.4065E-03
-2.946	-1.4301E-03
-2.945	-1.4535E-03
-2.944	-1.4768E-03
-2.943	-1.5000E-03
-2.942	-1.5229E-03
-2.941	-1.5458E-03
-2.94	-1.5684E-03
-2.939	-1.5909E-03
-2.938	-1.6133E-03
-2.937	-1.6354E-03
-2.936	-1.6575E-03
-2.935	-1.6793E-03
-2.934	-1.7010E-03
-2.933	-1.7225E-03
-2.932	-1.7438E-03
-2.931	-1.7649E-03
-2.93	-1.7859E-03
-2.929	-1.8066E-03
-2.928	-1.8272E-03
-2.927	-1.8476E-03
-2.926	-1.8678E-03
-2.925	-1.8878E-03
-2.924	-1.9076E-03
-2.923	-1.9272E-03
-2.922	-1.9466E-03
-2.921	-1.9658E-03
-2.92	-1.9848E-03
-2.919	-2.0036E-03
-2.918	-2.0222E-03
-2.917	-2.0405E-03
-2.916	-2.0587E-03
-2.915	-2.0766E-03
-2.914	-2.0943E-03
-2.913	-2.1118E-03
-2.912	-2.1291E-03
-2.911	-2.1461E-03
-2.91	-2.1630E-03
-2.909	-2.1795E-03
-2.908	-2.1959E-03
-2.907	-2.2120E-03
-2.906	-2.2279E-03
-2.905	-2.2436E-03
-2.904	-2.2590E-03
-2.903	-2.2742E-03
-2.902	-2.2891E-03
-2.901	-2.3038E-03
-2.9	-2.3183E-03
-2.899	-2.3325E-03
-2.898	-2.3464E-03
-2.897	-2.3601E-03
-2.896	-2.3736E-03
-2.895	-2.3868E-03
-2.894	-2.3997E-03
-2.893	-2.4124E-03
-2.892	-2.4248E-03
-2.891	-2.4370E-03
-2.89	-2.4489E-03
-2.889	-2.4605E-03
-2.888	-2.4719E-03
-2.887	-2.4830E-03
-2.886	-2.4939E-03
-2.885	-2.5044E-03
-2.884	-2.5148E-03
-2.883	-2.5248E-03
-2.882	-2.5346E-03
-2.881	-2.5440E-03
-2.88	-2.5533E-03
-2.879	-2.5622E-03
-2.878	-2.5709E-03
-2.877	-2.5793E-03
-2.876	-2.5874E-03
-2.875	-2.5952E-03
-2.874	-2.6027E-03
-2.873	-2.6100E-03
-2.872	-2.6170E-03
-2.871	-2.6237E-03
-2.87	-2.6301E-03
-2.869	-2.6362E-03
-2.868	-2.6421E-03
-2.867	-2.6476E-03
-2.866	-2.6529E-03
-2.865	-2.6578E-03
-2.864	-2.6625E-03
-2.863	-2.6669E-03
-2.862	-2.6710E-03
-2.861	-2.6748E-03
-2.86	-2.6784E-03
-2.859	-2.6816E-03
-2.858	-2.6845E-03
-2.857	-2.6872E-03
-2.856	-2.6895E-03
-2.855	-2.6916E-03
-2.854	-2.6933E-03
-2.853	-2.6948E-03
-2.852	-2.6960E-03
-2.851	-2.6968E-03
-2.85	-2.6974E-03
-2.849	-2.6977E-03
-2.848	-2.6977E-03
-2.847	-2.6974E-03
-2.846	-2.6967E-03
-2.845	-2.6958E-03
-2.844	-2.6946E-03
-2.843	-2.6931E-03
-2.842	-2.6913E-03
-2.841	-2.6892E-03
-2.84	-2.6868E-03
-2.839	-2.6842E-03
-2.838	-2.6812E-03
-2.837	-2.6779E-03
-2.836	-2.6743E-03
-2.835	-2.6704E-03
-2.834	-2.6663E-03
-2.833	-2.6618E-03
-2.832	-2.6570E-03
-2.831	-2.6520E-03
-2.83	-2.6466E-03
-2.829	-2.6410E-03
-2.828	-2.6351E-03
-2.827	-2.6288E-03
-2.826	-2.6223E-03
-2.825	-2.6155E-03
-2.824	-2.6084E-03
-2.823	-2.6010E-03
-2.822	-2.5933E-03
-2.821	-2.5853E-03
-2.82	-2.5771E-03
-2.819	-2.5685E-03
-2.818	-2.5597E-03
-2.817	-2.5505E-03
-2.816	-2.5411E-03
-2.815	-2.5314E-03
-2.814	-2.5215E-03
-2.813	-2.5112E-03
-2.812	-2.5007E-03
-2.811	-2.4898E-03
-2.81	-2.4787E-03
-2.809	-2.4673E-03
-2.808	-2.4557E-03
-2.807	-2.4437E-03
-2.806	-2.4315E-03
-2.805	-2.4190E-03
-2.804	-2.4063E-03
-2.803	-2.3932E-03
-2.802	-2.3799E-03
-2.801	-2.3664E-03
-2.8	-2.3525E-03
-2.799	-2.3384E-03
-2.798	-2.3241E-03
-2.797	-2.3094E-03
-2.796	-2.2945E-03
-2.795	-2.2794E-03
-2.794	-2.2640E-03
-2.793	-2.2483E-03
-2.792	-2.2324E-03
-2.791	-2.2162E-03
-2.79	-2.1997E-03
-2.789	-2.1831E-03
-2.788	-2.1661E-03
-2.787	-2.1489E-03
-2.786	-2.1315E-03
-2.785	-2.1138E-03
-2.784	-2.0959E-03
-2.783	-2.0778E-03
-2.782	-2.0594E-03
-2.781	-2.0407E-03
-2.78	-2.0219E-03
-2.779	-2.0028E-03
-2.778	-1.9834E-03
-2.777	-1.9639E-03
-2.776	-1.9441E-03
-2.775	-1.9241E-03
-2.774	-1.9039E-03
-2.773	-1.8834E-03
-2.772	-1.8627E-03
-2.771	-1.8419E-03
-2.77	-1.8208E-03
-2.769	-1.7994E-03
-2.768	-1.7779E-03
-2.767	-1.7562E-03
-2.766	-1.7343E-03
-2.765	-1.7121E-03
-2.764	-1.6898E-03
-2.763	-1.6672E-03
-2.762	-1.6445E-03
-2.761	-1.6216E-03
-2.76	-1.5985E-03
-2.759	-1.5752E-03
-2.758	-1.5517E-03
-2.757	-1.5280E-03
-2.756	-1.5041E-03
-2.755	-1.4801E-03
-2.754	-1.4559E-03
-2.753	-1.4315E-03
-2.752	-1.4070E-03
-2.751	-1.3822E-03
-2.75	-1.3573E-03
-2.749	-1.3323E-03
-2.748	-1.3071E-03
-2.747	-1.2817E-03
-2.746	-1.2562E-03
-2.745	-1.2305E-03
-2.744	-1.2047E-03
-2.743	-1.1787E-03
-2.742	-1.1526E-03
-2.741	-1.1263E-03
-2.74	-1.0999E-03
-2.739	-1.0734E-03
-2.738	-1.0467E-03
-2.737	-1.0199E-03
-2.736	-9.9300E-04
-2.735	-9.6595E-04
-2.734	-9.3879E-04
-2.733	-9.1150E-04
-2.732	-8.8410E-04
-2.731	-8.5658E-04
-2.73	-8.2896E-04
-2.729	-8.0123E-04
-2.728	-7.7340E-04
-2.727	-7.4546E-04
-2.726	-7.1743E-04
-2.725	-6.8930E-04
-2.724	-6.6109E-04
-2.723	-6.3278E-04
-2.722	-6.0439E-04
-2.721	-5.7591E-04
-2.72	-5.4736E-04
